,Date,Price,High,Low,Close,Volume,Adj Close
0,2013-12-01,8.29,9.8,7.96,8.51,13978800,8.51
1,2014-01-01,8.52,8.64,6.64,6.67,13105200,6.67
2,2014-02-01,6.64,7.99,6.08,6.3,17445200,6.3
3,2014-03-01,6.27,7.44,6.23,7,8221300,7
4,2014-04-01,6.98,7.34,4.98,5.27,8390800,5.27
5,2014-05-01,5.31,6.14,4.82,5.57,11579700,5.57
6,2014-06-01,5.6,8.11,5.4,7.04,25201600,7.04
7,2014-07-01,7.08,7.08,5.76,6.43,9449700,6.43
8,2014-08-01,6.48,7.49,5.83,6.91,14233300,6.91
9,2014-09-01,6.94,6.98,6.04,6.24,8616500,6.24
10,2014-10-01,6.24,6.7,5.53,6.65,10879100,6.65
11,2014-11-01,6.69,7.08,6,6.76,7219200,6.76
12,2014-12-01,6.75,7.05,6.14,6.91,6631900,6.91
13,2015-01-01,6.95,7.25,6.49,6.63,6467500,6.63
14,2015-02-01,6.64,8.71,6.35,8.12,20511700,8.12
15,2015-03-01,8.16,8.85,7.88,7.95,16861400,7.95
16,2015-04-01,7.93,8.25,7.39,7.43,8471300,7.43
17,2015-05-01,7.42,8.77,7.2,7.61,14449100,7.61
18,2015-06-01,7.6,8.09,7.52,7.84,17544600,7.84
19,2015-07-01,7.87,8.45,7.57,8.31,11835700,8.31
20,2015-08-01,8.33,8.84,7.03,7.43,24031000,7.43
21,2015-09-01,7.28,8.07,6.9,7.21,11598300,7.21
22,2015-10-01,7.24,7.6,6.74,6.9,7345200,6.9
23,2015-11-01,6.9,8.03,6.55,7.26,10176900,7.26
24,2015-12-01,7.28,7.48,6.64,6.73,6744100,6.73
25,2016-01-01,6.67,6.67,5.46,5.8,10691800,5.8
26,2016-02-01,5.74,5.83,3.15,4.29,26044100,4.29
27,2016-03-01,4.34,4.6,4.03,4.46,11002400,4.46
28,2016-04-01,4.38,4.76,4.26,4.54,7413800,4.54
29,2016-05-01,4.59,4.98,4.26,4.88,10989300,4.88
30,2016-06-01,4.88,5.13,4.58,5,8154500,5
31,2016-07-01,5.02,5.81,4.82,5.39,6204100,5.39
32,2016-08-01,5.42,7.06,5.4,6.73,13033500,6.73
33,2016-09-01,6.72,7.29,6.65,7.09,12752600,7.09
34,2016-10-01,7.05,7.33,6.59,6.65,10911400,6.65
35,2016-11-01,6.68,8.57,6.51,8.09,18051700,8.09
36,2016-12-01,8.14,8.38,7.3,7.38,9693600,7.38
37,2017-01-01,7.42,7.71,7.05,7.19,7362800,7.19
38,2017-02-01,7.2,8.3,6.84,7.9,10360300,7.9
39,2017-03-01,8.04,8.47,7.81,8.44,8911100,8.44
40,2017-04-01,8.46,9.07,8.04,9.01,9919900,9.01
41,2017-05-01,9.05,12.19,8.97,12,39508400,12
42,2017-06-01,11.98,13.1,11.53,12.29,32177100,12.29
43,2017-07-01,12.3,15.37,11.93,13.85,23083900,13.85
44,2017-08-01,13.33,15.95,13.21,14.19,35222100,14.19
45,2017-09-01,14.2,15.36,13.52,14.84,18355000,14.84
46,2017-10-01,14.83,16.5,14.25,15.51,22527600,15.51
47,2017-11-01,15.64,15.66,13.75,15.21,21659000,15.21
48,2017-12-01,15.16,16.67,13.83,16.32,15496900,16.32
49,2018-01-01,16.35,17.42,15.79,17.32,12369100,17.32
50,2018-02-01,17.25,20.78,15.47,19.91,32512700,19.91
51,2018-03-01,19.93,23.22,19.42,20.66,36377500,20.66
52,2018-04-01,20.66,23.9,19.77,23.21,29214800,23.21
53,2018-05-01,22.69,28.15,21.38,27.97,31129900,27.97
54,2018-06-01,28.15,29.76,26.37,27.79,31631700,27.79
